ok	grupo	grupo_nuevo	nombre	nombre_nuevo	name_en	name_en_nuevo	retirar_por	tier	score	edb_name	edb_equip	gif_url	edb_id
OK	Bíceps		Curl con barra EZ		EZ-Bar Curl	Biceps EZ-Bar Curl		strong	0.80	ez barbell curl	ez barbell	https://static.exercisedb.dev/media/6TG6x2w.gif	6TG6x2w
OK	Bíceps		Curl con barra recta		Barbell Curl	Biceps Barbell Curl		exact	1.00	barbell curl	barbell	https://static.exercisedb.dev/media/25GPyDY.gif	25GPyDY
OK	Bíceps		Curl con mancuernas de pie	Curl de Bíceps con mancuernas de pie	Standing Dumbbell Curl	Standing Biceps Dumbbell Curl		strong	0.86	dumbbell standing biceps curl	dumbbell	https://static.exercisedb.dev/media/3s4NnTh.gif	3s4NnTh
NO	Bíceps		Curl con mancuernas sentado		Seated Dumbbell Curl			strong (colisión)	0.86	dumbbell seated preacher curl	dumbbell	https://static.exercisedb.dev/media/7D5bgLT.gif	7D5bgLT
NO	Bíceps		Curl en máquina		Machine Curl			strong	0.86	smith machine bicep curl	smith machine	https://static.exercisedb.dev/media/zILLZ98.gif	zILLZ98
NO	Bíceps		Curl en polea alta	Curl de Bíceps en Polea	High Cable Curl		Curl en polea baja	strong (colisión)	0.80	cable curl	cable	https://static.exercisedb.dev/media/G08RZcQ.gif	G08RZcQ
OK	Bíceps		Curl en polea baja	Curl de Bíceps en Polea	Cable Curl	Biceps Cable Curl		exact (colisión)	1.00	cable curl	cable	https://static.exercisedb.dev/media/G08RZcQ.gif	G08RZcQ
OK	Bíceps		Curl inclinado con mancuernas	Curl inclinado de Bíceps con mancuernas	Incline Dumbbell Curl	Incline Dumbbell Biceps Curl		strong	1.00	dumbbell incline curl	dumbbell	https://static.exercisedb.dev/media/ae9UoXQ.gif	ae9UoXQ
OK	Bíceps		Curl martillo		Hammer Curl			strong	0.80	dumbbell hammer curl v. 2	dumbbell	https://static.exercisedb.dev/media/2NpxjC1.gif	2NpxjC1
OK	Bíceps		Curl predicador con barra EZ	Curl Predicador con barra	EZ-Bar Preacher Curl	Preacher Curl		strong	0.80	barbell preacher curl	barbell	https://static.exercisedb.dev/media/qOgPVf6.gif	qOgPVf6
OK	Bíceps		Curl predicador con mancuerna		Dumbbell Preacher Curl			strong (colisión)	0.86	dumbbell seated preacher curl	dumbbell	https://static.exercisedb.dev/media/7D5bgLT.gif	7D5bgLT
OK	Core		Ab wheel		Ab Wheel Rollout			weak	0.50	wheel rollerout	wheel roller	https://static.exercisedb.dev/media/NAgVB3t.gif	NAgVB3t
NO	Core		Bird dog		Bird Dog			sin candidato					
OK	Core		Crunch en polea		Cable Crunch			strong	1.00	cable kneeling crunch	cable	https://static.exercisedb.dev/media/WW95auq.gif	WW95auq
NO	Core		Crunch inverso		Reverse Crunch			weak	0.80	roller reverse crunch	roller	https://static.exercisedb.dev/media/SKXQAx3.gif	SKXQAx3
OK	Core		Crunch tradicional	Crunch	Crunch			strong	0.67	tuck crunch	body weight	https://static.exercisedb.dev/media/BMMolZ3.gif	BMMolZ3
NO	Core		Dead bug		Dead Bug			sin candidato					
OK	Core		Dragon flag		Dragon Flag			sin candidato					
OK	Core		Elevación de piernas en barra	Elevación de piernas	Hanging Leg Raise			weak (colisión)	0.75	weighted hanging leg-hip raise	weighted	https://static.exercisedb.dev/media/QOA0FD0.gif	QOA0FD0
OK	Core		Elevación de piernas tumbado		Lying Leg Raise			strong	0.86	lying leg-hip raise	body weight	https://static.exercisedb.dev/media/9IxJdtC.gif	9IxJdtC
OK	Core		Farmer carry		Farmer's Carry			weak	0.50	farmers walk	dumbbell	https://static.exercisedb.dev/media/qPEzJjA.gif	qPEzJjA
OK	Core		Hollow body hold		Hollow Body Hold			sin candidato					
