ok	grupo	nombre	name_en	opcion	score	aviso	edb_name	edb_equip	gif_url	edb_id
	Bíceps	Curl con mancuernas sentado	Seated Dumbbell Curl	1	0.86		dumbbell seated preacher curl	dumbbell	https://static.exercisedb.dev/media/7D5bgLT.gif	7D5bgLT
OK	Bíceps	Curl con mancuernas sentado	Seated Dumbbell Curl	2	0.75		dumbbell alternate seated hammer curl	dumbbell	https://static.exercisedb.dev/media/6em2Dxj.gif	6em2Dxj
	Bíceps	Curl con mancuernas sentado	Seated Dumbbell Curl	3	0.67		dumbbell hammer curl v. 2	dumbbell	https://static.exercisedb.dev/media/2NpxjC1.gif	2NpxjC1
	Bíceps	Curl con mancuernas sentado	Seated Dumbbell Curl	4	0.67		dumbbell seated kickback	dumbbell	https://static.exercisedb.dev/media/en550rk.gif	en550rk
	Bíceps	Curl en máquina	Machine Curl	1	0.86		smith machine bicep curl	smith machine	https://static.exercisedb.dev/media/zILLZ98.gif	zILLZ98
	Bíceps	Curl en máquina	Machine Curl	2	0.67		lever bicep curl	leverage machine	https://static.exercisedb.dev/media/q6y3OhV.gif	q6y3OhV
	Bíceps	Curl en máquina	Machine Curl	3	0.44		inverse leg curl (on pull-up cable machine)	body weight	https://static.exercisedb.dev/media/0rHfvy9.gif	0rHfvy9
	Bíceps	Curl en máquina	Machine Curl	4	0.44		weighted seated bicep curl (on stability ball)	medicine ball	https://static.exercisedb.dev/media/b4b6afT.gif	b4b6afT
	Core	Bird dog	Bird Dog			sin candidato				
	Core	Crunch inverso	Reverse Crunch	1	0.80		roller reverse crunch	roller	https://static.exercisedb.dev/media/SKXQAx3.gif	SKXQAx3
	Core	Crunch inverso	Reverse Crunch	2	0.50		reverse dip	body weight	https://static.exercisedb.dev/media/NZ5Qqkz.gif	NZ5Qqkz
	Core	Crunch inverso	Reverse Crunch	3	0.50	revisar agarre/lado	tuck crunch	body weight	https://static.exercisedb.dev/media/BMMolZ3.gif	BMMolZ3
	Core	Crunch inverso	Reverse Crunch	4	0.50	revisar agarre/lado	weighted crunch	weighted	https://static.exercisedb.dev/media/s8nrDXF.gif	s8nrDXF
	Core	Dead bug	Dead Bug			sin candidato				
	Core	Dragon flag	Dragon Flag			sin candidato				
	Core	Hollow body hold	Hollow Body Hold			sin candidato				
